p225_001| PLIY1Z KAO1L STEH1LAH0 .
p225_002| AE1SK HHER1 TUW1 BRIH1NG DHIY1Z THIH1NGZ WIH1DH HHER1 FRAH1M DHAH0 STAO1R .
p225_003| SIH1KS SPUW1NZ AH1V FREH1SH SNOW1 PIY1Z , FAY1V THIH1K SLAE1BZ AH1V BLUW1 CHIY1Z , AH0ND MEY1BIY0 AH0 SNAE1K FAO1R HHER1 BRAH1DHER0 BAA1B .
p225_004| WIY1 AO1LSOW0 NIY1D AH0 SMAO1L PLAE1STIH0K SNEY1K AH0ND AH0 BIH1G TOY1 FRAA1G FAO1R DHAH0 KIH1DZ .
p225_005| SHIY1 KAE1N SKUW1P DHIY1Z THIH1NGZ IH1NTUW0 THRIY1 REH1D BAE1GZ , AH0ND WIY1 WIH1L GOW1 MIY1T HHER1 WEH1NZDIY0 AE1T DHAH0 TREY1N STEY1SHAH0N .
p225_006| WEH1N DHAH0 SAH1NLAY2T STRAY1KS REY1NDRAA2PS IH0N DHAH0 EH1R , DHEY1 AE1KT AE1Z AH0 PRIH1ZAH0M AH0ND FAO1RM AH0 REY1NBOW2 .
p225_007| DHAH0 REY1NBOW2 IH1Z AH0 DIH0VIH1ZHAH0N AH1V WAY1T LAY1T IH1NTUW0 MEH1NIY0 BYUW1TAH0FAH0L KAH1LER0Z .
p225_008| DHIY1Z TEY1K DHAH0 SHEY1P AH1V AH0 LAO1NG RAW1ND AA1RCH , WIH1DH IH1TS PAE1TH HHAY1 AH0BAH1V , AH0ND IH1TS TUW1 EH1NDZ AH0PEH1RAH0NTLIY0 BIH0AA1ND DHAH0 HHER0AY1ZAH0N .
p225_009| DHEH1R IH1Z , AH0KAO1RDIH0NG TUW1 LEH1JHAH0ND , AH0 BOY1LIH0NG PAA1T AH1V GOW1LD AE1T WAH1N EH1ND .
p225_010| PIY1PAH0L LUH1K , BAH1T NOW1 WAH1N EH1VER0 FAY1NDZ IH1T .
p225_011| WEH1N AH0 MAE1N LUH1KS FAO1R SAH1MTHIH0NG BIH0AA1ND HHIH1Z RIY1CH , HHIH1Z FREH1NDZ SEY1 HHIY1 IH1Z LUH1KIH0NG FAO1R DHAH0 PAA1T AH1V GOW1LD AE1T DHAH0 EH1ND AH1V DHAH0 REY1NBOW2 .
p225_012| THRUW0AW1T DHAH0 SEH1NCHER0IY0Z PIY1PAH0L HHAE1V IH0KSPLEY1ND DHAH0 REY1NBOW2 IH0N VEH1RIY0AH0S WEY1Z .
p225_013| SAH1M HHAE1V AE0KSEH1PTIH0D IH1T AE1Z AH0 MIH1RAH0KAH0L WIH0THAW1T FIH1ZIH0KAH0L EH2KSPLAH0NEY1SHAH0N .
p225_014| TUW1 DHAH0 HHIY1BRUW0Z IH1T WAA1Z AH0 TOW1KAH0N DHAE1T DHEH1R WUH1D BIY1 NOW1 MAO1R YUW2NAH0VER1SAH0L FLAH1DZ .
p225_016| DHAH0 NAO1RSMIH0N KAH0NSIH1DER0D DHAH0 REY1NBOW2 AE1Z AH0 BRIH1JH OW1VER0 WIH1CH DHAH0 GAA1DZ PAE1ST FRAH1M ER1TH TUW1 DHEH1R HHOW1M IH0N DHAH0 SKAY1 .
p225_017| AH1DHER0Z HHAE1V TRAY1D TUW1 IH0KSPLEY1N DHAH0 FAH0NAA1MAH0NAA2N FIH1ZIH0KAH0LIY0 .
p225_018| EH1RAH0STAA2TAH0L THAO1T DHAE1T DHAH0 REY1NBOW2 WAA1Z KAA1ZD BAY1 RAH0FLEH1KSHAH0N AH1V DHAH0 SAH1NZ REY1Z BAY1 DHAH0 REY1N .
p225_019| SIH1NS DHEH1N FIH1ZIH0SIH0STS HHAE1V FAW1ND DHAE1T IH1T IH1Z NAA1T RAH0FLEH1KSHAH0N , BAH1T REFRACTION BAY1 DHAH0 REY1NDRAA2PS WIH1CH KAA1ZAH0Z DHAH0 REY1NBOW2Z .
p225_020| MEH1NIY0 KAA1MPLAH0KEY2TAH0D AY0DIY1AH0Z AH0BAW1T DHAH0 REY1NBOW2 HHAE1V BIH1N FAO1RMD .
